parent_asin,product_title,store,main_category,price_tier,total_reviews,unique_reviewers,avg_rating,rating_stddev,positive_reviews,negative_reviews,neutral_reviews,satisfaction_rate,negative_rate,avg_review_length,detailed_reviews,verified_purchases,verified_rate,avg_helpful_votes,first_review_date,last_review_date,review_span_days,sample_reviews
B075X8471B,"Fire TV Stick with Alexa Voice Remote, streaming media player - Previous Generation",Amazon,Amazon Devices,Unknown,178239,176347,4.39,1.18,150078,18820,9341,84.2,10.56,117.9,28047,175256,98.33,0.51,2016-10-24,2023-05-28,2407,"[5 stars] Love love love. Used to have Google Chromecast, this is 100x better quality and easier to use. | [5 stars] since I'm already a prime member, and I'm willing to pay a little fee every month for Netflix as well, we're hardly watching any network television but also aren't paying ridiculous fees for 101 channels we never watch.  more than enough good and intelligent and fun content to keep me well occupied on those long winter evenings. | [5 stars] More than happy with this! Has saved me so much money and have no further need for high, and continuously raising cable or satellite bills!! I went from having to either hook my computer up to my tv to watch my Amazon or Netflix account to having both right where I need them without needing to buy an expensive new &#34;Smart TV&#34; as this makes any TV smart!!! | [5 stars] I have one of these in every room with a TV. I bought the same for my 80+ year old parents and they love the ease of using it as well. With the voice command, it's dummy-proof! Great shows on Prime and no monthly fees. PERFECT! | [5 stars] Only day two of using it but I’m already so happy I finally decided to buy it!"
B07GZFM1ZM,Fire TV Stick 4K streaming device with Alexa Voice Remote (includes TV controls) | Dolby Vision,Amazon,Amazon Devices,Unknown,140751,139288,4.51,1.09,123024,12020,5707,87.41,8.54,126.29,24716,138505,98.4,0.3,2018-11-05,2023-08-23,1752,"[5 stars] I have a whole handful of fire sticks - but who knew that this fire stick could help you get Disney+ on your older than 3 year old Samsung TV??  ALSO a bonus... you can watch your paid HBO Amazon subscription on your TV through your new fire stick too.  WELL worth the investment. 100% less frustration.  Thank you Amazon fire stick! | [5 stars] I haven't really ""driven"" it around the block so to speak, but, from the initial installation it performed well. | [5 stars] How many times do i need to review this? This is my second fire stick 😂 | [5 stars] I have not done much with the firestick yet but my son had one and I liked the options for TV. I mostly watch networks but plan to use a lot when reruns are on. I liked the ease of setting it up and getting around on it. | [1 stars] I tried everything humanly possible and I cannot get this remote to pair with Alexa Echo!......Amazon for whatever reason could not figure it out after over an hour in chat!"
B01K8B8YA8,Echo Dot (2nd Generation) - Smart speaker with Alexa - White,Amazon,Amazon Devices,Mid ($20-50),119051,117882,4.35,1.16,98243,12119,8689,82.52,10.18,157.83,25736,118171,99.26,0.6,2016-10-24,2023-08-06,2477,[5 stars] a friend told me he had this and it was great  .. ive been looking at it and looking at it .. and he convinced me i needed it  ... alexa is pretty funny at times ...  i saw that angel stand for it  .. i wish they had more choices  ... nothing caught my eye  maybe someday one will | [5 stars] Awesome product..my fiance loved her birthday present | [5 stars] I love it! Being able to use handsfree voice commands to obtain info and listen to music I to which wouldn't normally  have access is great. Amazing what this little hockey puck can do! :) | [5 stars] Too fun - great speaker! I slipped mine inside a vintage radio.<br />It adds my shopping list to my iPhone and plays Jazz while I do housework. LOVE IT!! | [5 stars] We are loving our Dots! So useful for so many things. We love the intercom feature where different dots can be &#34;called&#34; and used to communicate.
B010BWYDYA,"Fire Tablet with Alexa, 7"" Display, 16 GB, Blue - with Special Offers (Previous Generation - 5th)",Amazon,Amazon Devices,Unknown,103964,102729,4.14,1.29,80421,14558,8985,77.35,14.0,232.8,31651,98906,95.13,1.64,2007-11-19,2023-08-28,5761,"[5 stars] I love it. Have never met a kindle I didn't love. The color is bright and beautiful. | [5 stars] I love except it makes a bleeping noise like a couple to 3 times per minute. Is this normal?????? | [5 stars] Great sound, games work well.<br />Battery life does not last as long as my Nook does, but I have not used it for books yet either.<br />Set up was a bear.  Did not connect to wifi, had to make several calls to get it to work.<br />Had to re-register.<br />Works fine now.<br />Great camera. | [1 stars] Have a Nexus that is dying a slow death. It was OK. I've only started to use my Fire. I really like having Amazon on it already, and ALL my books.  It will be interesting to see how long it lasts. Bought in July 2016 already failing. | [5 stars] It works fine. Love the benefits of being an Amazon Prime member. Only glitch I had was an online interference problem while listening to a music download, but it only happened 2 times. It is great that I have access to all my ebooks now."
B07H65KP63,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",Amazon,Amazon Devices,Unknown,95397,94348,4.63,0.93,86627,5309,3461,90.81,5.57,111.93,13960,93262,97.76,0.22,2019-07-16,2023-09-10,1517,"[5 stars] This  Echo Dot was a gift from my son to help me navigate new technology.  BEST GIFT EVER!  How did I ever live without it!! | [5 stars] I enjoy having Alexa in almost every room so I can listen to my favorite radio and TV stations.  I've been using it as an intercom, too, so I can call my husband instead of shouting or walking to the other end of the house.  We've also gotten used to asking Alexa all kinds of questions...most of which get answered. | [5 stars] It was easy to set up and she responds quickly to my voice.  I did not know she can find books on Audible so I get to listen to books on tape which is awesome.  She responds to my friends' voices as well without hesitation.  I use Alexa to play rain sounds as I try to go to sleep....pretty awesome.  Love, Love, Love it! | [5 stars] I usually buy one or two of these on Prime Days when they sell for about $25 each. I have all the Amazon Dots and Echoes that I need in my house, but these make great gifts for most anyone— especially for last minute gifts and for people that are hard to figure out what to get. I especially love giving one to someone who’s never used Alexa before. They have so much fun.<br /><br />It’s a that keep on giving! | [5 stars] The Dot was a gift to me.  I have just begun with her.<br />My vision is very limited and I can now listen to my Audible books easily, adjust the volume, pause and start again at my convenience.<br />That is so wonderful and I will be exploring more of what Alexia has to offewr.<br />She does answer almost any question I can think of!"
B0791TX5P5,"Fire TV Stick streaming device with Alexa built in, includes Alexa Voice Remote, HD, latest release",Amazon,Amazon Devices,Unknown,88798,87838,4.45,1.18,76061,9156,3581,85.66,10.31,117.89,14607,87523,98.56,0.55,2019-01-28,2023-08-01,1646,"[5 stars] I had a first generation fire stick and upgraded to this one. It has performed Much Better! I’m Very satisfied. | [5 stars] Easy to install, small and awesome to use<br />All I can say is, love it!!!! | [5 stars] Easy to use and set up. Absolutely love the fire stick. It was worth the price paid. | [5 stars] This is an upgrade for me from a 1st Gen. All; the same great qualities I've come to expect from a Firestick but with an amazing remote that replaces the TV remote!! | [5 stars] It's works perfect. I just press microphone and say what i want to watch. Helps!!"
B08XPWDSWW,TOZO T10 Bluetooth 5.3 Wireless Earbuds with Wireless Charging Case IPX8 Waterproof Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass for Sport White (2022 Upgraded),TOZO,Home Audio & Theater,Mid ($20-50),72566,71536,4.26,1.27,58209,9836,4521,80.22,13.55,230.39,27864,71132,98.02,0.6,2018-11-25,2023-09-06,1746,"[5 stars] She (girlfriend) hasn't used them for very long, but so far she loves them. They hooked up easily, which was an issue with her old ones, and she loves that there are REALLY no wires attached. They sound great and really do cancel outside noise. And she likes the look of them (I got the white ones for her). | [1 stars] I am not sure there are so many people are buying these, there are completely useless.....They fall out, and hang out of the ear way too far! | [5 stars] So much better than the Apple headphones and I was pleasantly surprised. Great value for the money and the charge lasts a long time! | [5 stars] I use these to do virtual exercise classes as well as to listen to music on my iPhone. They work perfectly! | [5 stars] Great sound quality. They fit perfectly and are very comfortable. It includes four different sizes of ear caps. It’s so nice to be able to wear earbuds that don’t hurt my ears while keep other voices or noises out. The price is great for such amazing quality."
B07S764D9V,"Panasonic ErgoFit Wired Earbuds, In-Ear Headphones with Microphone and Call Controller, Ergonomic Custom-Fit Earpieces (S/M/L), 3.5mm Jack for Phones and Laptops - RP-TCM125-A (Blue)",Panasonic,Home Audio & Theater,Budget (<$20),55743,54771,4.26,1.24,44810,6927,4006,80.39,12.43,213.85,19402,53501,95.98,0.47,2010-09-13,2023-08-24,4728,"[5 stars] I love these, they hold up to a lot of wear, including me washing them by accident in the washing machine. They have 2 sets of the the poertion that goes in the ear,so you can get a good fit. They are comfortable and a great price | [5 stars] These earbuds are okay, I did not expect anything less but they definitely helped while my bigger ones broke. Still hoping to repair those but int he meantime these are good and they came with replacements for the earbuds and well packaged. | [1 stars] It said iPhone compatible but the adapter doesn't connect ti iPhone. | [5 stars] These have lasted longer. I go through ear buds like crazy, but Panasonic makes good products. So, I got one pair for my Mac, and another for my little radio. | [5 stars] Wow, affordable with great sound. Assembly could be improved to last years."
B07KTYJ769,"Amazon Smart Plug, for home automation, Works with Alexa - A Certified for Humans Device",Amazon,Amazon Devices,Mid ($20-50),51867,51365,4.58,1.07,46122,4203,1542,88.92,8.1,130.15,9840,50818,97.98,0.64,2018-10-15,2023-09-07,1788,"[5 stars] It works as promised.  I bought mine as a combined item with Echo.  As a stand alone plug, it seems expensive. | [5 stars] I have a space heater plugged into it. It turns the heater on and off many times during the day and night. It works great with my Alexa. | [5 stars] Very easily installed and linked with Alexa. Works wonderfully. | [1 stars] These only last a short time. Than they stop responding and when you try to reconnect you get a ""provising"" error.  It is great when it works I bought 3 and only 1 is left working. | [5 stars] Love the smart plug automation. I have the smart plug connected to a lamp located in the center of my house. Some difficulty connecting the smart plug to my Wi-Fi via Amazon Alexa app. After three tries it finally connected. Initially I wanted to connect to my coffee pot. But the plug came on and off but the coffee pot did not turn on. So I settled for a lamp."
B0BW4PFM58,"OontZ Angle 3 Bluetooth Speaker, Portable Wireless Bluetooth 5.0 Speaker, 10 Watts, Crystal Clear Stereo Sound, Rich Bass, IPX5 Water Resistant, Loud Portable Bluetooth Speaker (Black)",Cambridge Soundworks,All Electronics,Mid ($20-50),51568,50892,4.36,1.2,42880,5922,2766,83.15,11.48,174.84,14207,49961,96.88,0.44,2015-08-19,2023-08-29,2932,"[5 stars] Easy to use good sound quality nice and small perfect For the deck | [1 stars] Stopped working after 2 showers<br />It was great at first then it stopped working after two showers. I was going to send it back but missed the deadline. This is cheap- don’t waste your money. | [5 stars] I was hesitant to purchase this, but I'm so glad did. The sound is great. | [5 stars] Love my little speaker! I connect it wirelessly Tommy iPod and off to the garden or shower I go! Nice! No wires to trip over or pull on - excellent!!!! They made fun of me when they saw it but now they just say - nice speaker Mom!!!!! I agree 100%!!! Love my speaker and it's all mine. | [5 stars] This is amazing.  The sound quality is so clear and wonderful.  We hook it up to the computer and can hear music all though the house."
