store,year_month,review_count,avg_rating,positive_count,negative_count,neutral_count,positive_rate,negative_rate,rating_change,trend_direction
Amazon,2007-11-01,402,3.13,175,152,75,43.53,37.81,,Stable
Amazon,2007-12-01,200,4.02,151,27,22,75.5,13.5,0.888,Improving
Amazon,2008-01-01,101,4.02,81,14,6,80.2,13.86,0.005,Stable
Amazon,2008-02-01,138,4.36,120,11,7,86.96,7.97,0.343,Improving
Amazon,2008-03-01,132,4.25,111,13,8,84.09,9.85,-0.112,Declining
Amazon,2008-04-01,105,4.55,96,4,5,91.43,3.81,0.302,Improving
Amazon,2008-05-01,232,4.45,205,10,17,88.36,4.31,-0.1,Stable
Amazon,2008-06-01,371,4.4,330,28,13,88.95,7.55,-0.054,Stable
Amazon,2008-07-01,465,4.5,418,20,27,89.89,4.3,0.104,Improving
Amazon,2008-08-01,356,4.54,328,10,18,92.13,2.81,0.036,Stable
Amazon,2008-09-01,361,4.36,314,29,18,86.98,8.03,-0.179,Declining
Amazon,2008-10-01,360,4.41,320,28,12,88.89,7.78,0.054,Stable
Amazon,2008-11-01,1023,4.49,921,49,53,90.03,4.79,0.074,Stable
Amazon,2008-12-01,591,4.48,529,30,32,89.51,5.08,-0.009,Stable
Amazon,2009-01-01,202,4.26,169,22,11,83.66,10.89,-0.221,Declining
Amazon,2009-02-01,66,3.65,41,15,10,62.12,22.73,-0.606,Declining
Amazon,2009-03-01,21,4.1,17,4,0,80.95,19.05,0.444,Improving
Amazon,2009-04-01,15,4.8,14,0,1,93.33,0.0,0.705,Improving
Amazon,2009-05-01,10,3.9,8,2,0,80.0,20.0,-0.9,Declining
Amazon,2009-06-01,7,3.29,4,3,0,57.14,42.86,-0.614,Declining
Amazon,2009-07-01,12,3.25,6,4,2,50.0,33.33,-0.036,Stable
Amazon,2009-08-01,11,3.82,8,3,0,72.73,27.27,0.568,Improving
Amazon,2009-09-01,13,4.08,10,2,1,76.92,15.38,0.259,Improving
Amazon,2009-10-01,24,4.21,21,3,0,87.5,12.5,0.131,Improving
Amazon,2009-11-01,19,4.37,16,1,2,84.21,5.26,0.16,Improving
Amazon,2009-12-01,16,4.69,16,0,0,100.0,0.0,0.319,Improving
Amazon,2010-01-01,11,3.82,6,2,3,54.55,18.18,-0.869,Declining
Amazon,2010-02-01,8,4.75,8,0,0,100.0,0.0,0.932,Improving
Amazon,2010-03-01,9,3.78,6,2,1,66.67,22.22,-0.972,Declining
Amazon,2010-04-01,2,2.5,1,1,0,50.0,50.0,-1.278,Declining
Amazon,2010-05-01,7,4.29,6,1,0,85.71,14.29,1.786,Improving
Amazon,2010-06-01,3,4.67,3,0,0,100.0,0.0,0.381,Improving
Amazon,2010-07-01,9,4.33,7,1,1,77.78,11.11,-0.333,Declining
Amazon,2010-08-01,9,3.78,6,2,1,66.67,22.22,-0.556,Declining
Amazon,2010-09-01,4,3.25,2,1,1,50.0,25.0,-0.528,Declining
Amazon,2010-11-01,14,3.79,10,3,1,71.43,21.43,0.536,Improving
Amazon,2010-12-01,16,3.81,11,4,1,68.75,25.0,0.027,Stable
Amazon,2011-01-01,14,3.93,10,4,0,71.43,28.57,0.116,Improving
Amazon,2011-02-01,10,3.8,5,1,4,50.0,10.0,-0.129,Declining
Amazon,2011-03-01,5,4.0,4,0,1,80.0,0.0,0.2,Improving
Amazon,2011-04-01,15,4.27,13,1,1,86.67,6.67,0.267,Improving
Amazon,2011-05-01,8,4.75,8,0,0,100.0,0.0,0.483,Improving
Amazon,2011-06-01,6,3.5,4,2,0,66.67,33.33,-1.25,Declining
Amazon,2011-07-01,6,2.33,1,3,2,16.67,50.0,-1.167,Declining
Amazon,2011-08-01,4,4.75,4,0,0,100.0,0.0,2.417,Improving
Amazon,2011-09-01,5,5.0,5,0,0,100.0,0.0,0.25,Improving
Amazon,2011-10-01,4,3.5,2,1,1,50.0,25.0,-1.5,Declining
Amazon,2011-11-01,2,2.5,0,1,1,0.0,50.0,-1.0,Declining
Amazon,2011-12-01,10,2.7,2,4,4,20.0,40.0,0.2,Improving
Amazon,2012-01-01,11,2.82,6,5,0,54.55,45.45,0.118,Improving
Amazon,2012-02-01,6,3.0,3,3,0,50.0,50.0,0.182,Improving
Amazon,2012-03-01,6,2.67,2,3,1,33.33,50.0,-0.333,Declining
Amazon,2012-04-01,2,2.0,0,1,1,0.0,50.0,-0.667,Declining
Amazon,2012-05-01,10,2.4,3,6,1,30.0,60.0,0.4,Improving
Amazon,2012-06-01,6,2.83,3,3,0,50.0,50.0,0.433,Improving
Amazon,2012-07-01,4,2.25,1,3,0,25.0,75.0,-0.583,Declining
Amazon,2012-08-01,4,2.5,1,2,1,25.0,50.0,0.25,Improving
Amazon,2012-10-01,3,1.67,0,2,1,0.0,66.67,-0.833,Declining
Amazon,2012-11-01,7,2.29,2,5,0,28.57,71.43,0.619,Improving
Amazon,2012-12-01,16,3.69,10,5,1,62.5,31.25,1.402,Improving
Amazon,2013-01-01,10,3.3,5,4,1,50.0,40.0,-0.388,Declining
Amazon,2013-02-01,5,3.0,2,2,1,40.0,40.0,-0.3,Declining
Amazon,2013-03-01,4,4.75,4,0,0,100.0,0.0,1.75,Improving
Amazon,2013-04-01,2,4.5,2,0,0,100.0,0.0,-0.25,Declining
Amazon,2013-05-01,4,3.75,2,1,1,50.0,25.0,-0.75,Declining
Amazon,2013-06-01,3,3.67,2,1,0,66.67,33.33,-0.083,Stable
Amazon,2013-07-01,9,1.67,0,7,2,0.0,77.78,-2.0,Declining
Amazon,2013-08-01,8,3.5,5,3,0,62.5,37.5,1.833,Improving
Amazon,2013-09-01,7,3.14,3,3,1,42.86,42.86,-0.357,Declining
Amazon,2013-11-01,13,3.0,6,6,1,46.15,46.15,-0.143,Declining
Amazon,2013-12-01,3,2.67,1,2,0,33.33,66.67,-0.333,Declining
Amazon,2014-01-01,3,3.67,2,1,0,66.67,33.33,1.0,Improving
Amazon,2014-02-01,7,3.14,3,3,1,42.86,42.86,-0.524,Declining
