parent_asin,product_title,store,year_month,monthly_reviews,monthly_avg_rating,prev_month_reviews,velocity_change,velocity_change_pct,momentum
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2008-08-01,1,5.0,,,,Collapsing
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2009-04-01,1,5.0,1.0,0.0,0.0,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2009-05-01,1,4.0,1.0,0.0,0.0,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2009-10-01,1,1.0,1.0,0.0,0.0,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2009-12-01,1,4.0,1.0,0.0,0.0,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2010-02-01,1,5.0,1.0,0.0,0.0,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2010-03-01,2,3.0,1.0,1.0,50.0,Growing
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2010-04-01,2,5.0,2.0,0.0,0.0,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2010-05-01,5,4.6,2.0,3.0,100.0,Surging
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2010-06-01,4,4.5,5.0,-1.0,-16.67,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2010-07-01,3,4.67,4.0,-1.0,-20.0,Declining
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2010-08-01,11,4.55,3.0,8.0,200.0,Surging
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2010-09-01,13,4.23,11.0,2.0,16.67,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2010-10-01,11,4.18,13.0,-2.0,-14.29,Stable
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,2010-11-01,5,4.8,11.0,-6.0,-50.0,Collapsing
